time,data/763/norm1
77589,0.21366009
77639,0.21366009
77689,0.21362957
77739,0.21362957
77790,0.21362957
77839,0.21362957
77889,0.21356852
77939,0.21356852
77989,0.21356852
78039,0.21356852
78089,0.21362957
78139,0.21362957
78189,0.21362957
78239,0.21362957
78289,0.21359904
78339,0.21359904
78389,0.21359904
78439,0.21359904
78489,0.21359904
78539,0.21359904
78589,0.21359904
78639,0.21359904
78689,0.21356852
78739,0.213538
78789,0.213538
78839,0.213538
78890,0.213538
78939,0.21356852
78989,0.21356852
79039,0.21356852
79089,0.21356852
79139,0.21350749
79189,0.21350749
79239,0.21350749
79289,0.21350749
79339,0.213538
79389,0.213538
79439,0.213538
79489,0.213538
79539,0.21350749
79589,0.21350749
79639,0.21350749
79689,0.21350749
79739,0.21347697
79789,0.21347697
79839,0.21347697
79889,0.21347697
79939,0.21341594
79989,0.21341594
80039,0.21341594
80089,0.21341594
80139,0.21338542
80189,0.21338542
80240,0.21338542
80289,0.21338542
80339,0.21338542
80389,0.21338542
80439,0.21338542
80489,0.21338542
80539,0.21332438
80589,0.21332438
80639,0.21332438
80689,0.21332438
80739,0.21332438
80789,0.21332438
80839,0.21332438
80889,0.21332438
80939,0.21332438
80989,0.21332438
81039,0.21332438
81089,0.21332438
81139,0.21332438
81189,0.21329387
81239,0.21329387
81290,0.21329387
81340,0.21329387
81389,0.21329387
81439,0.21329387
81489,0.21329387
81539,0.21329387
81589,0.21329387
81639,0.21329387
81690,0.21329387
81739,0.21329387
81789,0.21326335
81839,0.21326335
81889,0.21326335
81939,0.21326335
81989,0.21326335
82039,0.21326335
82089,0.21326335
82139,0.21326335
82189,0.21323283
82239,0.21323283
82289,0.21323283
82339,0.21323283
82389,0.21323283
82439,0.21323283
82489,0.21323283
82539,0.21323283
82589,0.21323283
82639,0.21323283
82689,0.21323283
82739,0.21323283
82789,0.21320231
82839,0.21320231
82889,0.21320231
82939,0.21320231
82989,0.21323283
83039,0.21320231
83089,0.21320231
83139,0.21320231
83189,0.21320231
83239,0.21323283
83289,0.21323283
83339,0.21323283
83389,0.21323283
83439,0.21323283
83489,0.21323283
83539,0.21323283
83589,0.21323283
83639,0.21314128
83691,0.21314128
83740,0.21314128
83790,0.21314128
83839,0.21311074
83889,0.21311074
83939,0.21311074
83989,0.21311074
84039,0.21311074
84089,0.21311074
84139,0.21311074
84189,0.21311074
84239,0.21308023
84289,0.21308023
84339,0.21308023
84389,0.21308023
84439,0.21308023
84489,0.21308023
84539,0.21308023
84589,0.21308023
84639,0.21311074
84689,0.21311074
84739,0.21311074
84789,0.21311074
84839,0.21314128
84889,0.21314128
84939,0.21314128
84989,0.21314128
85039,0.21311074
85089,0.21311074
85139,0.21311074
85189,0.21311074
85239,0.21311074
85289,0.21314128
85339,0.21314128
85389,0.21314128
85439,0.21314128
85489,0.21314128
85540,0.21314128
85589,0.21314128
85639,0.21311074
85689,0.21311074
85739,0.21311074
85789,0.21314128
85839,0.21314128
85889,0.21311074
85939,0.21311074
85989,0.21311074
86039,0.21311074
86089,0.21314128
86139,0.21314128
86189,0.21314128
86239,0.21314128
86289,0.21314128
86339,0.21314128
86389,0.21314128
86439,0.21314128
86490,0.21314128
86539,0.21314128
86589,0.21314128
86639,0.21314128
86689,0.21308023
86739,0.21308023
86789,0.21304971
86839,0.21304971
86889,0.21304971
86939,0.21304971
86989,0.21304971
87039,0.21304971
87089,0.21308023
87139,0.21301919
87189,0.21301919
87239,0.21301919
87289,0.21301919
87339,0.21301919
87389,0.21301919
87439,0.21301919
87489,0.21301919
87539,0.21298867
87589,0.21298867
87639,0.21298867
87689,0.21298867
87739,0.21295816
87789,0.21295816
87839,0.21295816
87889,0.21295816
87939,0.21292764
87989,0.21292764
88039,0.21292764
88089,0.21292764
88142,0.21289712
88190,0.21289712
88239,0.21289712
88289,0.21289712
88339,0.21292764
88389,0.21292764
88440,0.21292764
88489,0.21292764
88539,0.21292764
88589,0.21292764
88639,0.21292764
88689,0.21292764
88739,0.2128666
88789,0.2128666
88839,0.2128666
88889,0.2128666
88939,0.2128666
88989,0.2128666
89039,0.2128666
89089,0.2128666
89139,0.2128666
89189,0.2128666
89239,0.2128666
89289,0.2128666
89339,0.21283609
89389,0.2128666
89439,0.2128666
89489,0.2128666
89539,0.2128666
89589,0.21280557
89639,0.21280557
89689,0.21280557
89739,0.21280557
89789,0.21283609
89839,0.21283609
89889,0.21283609
89939,0.21283609
89989,0.21283609
90039,0.21283609
90089,0.21283609
90139,0.21283609
90189,0.2128666
90239,0.2128666
90289,0.2128666
90339,0.2128666
90389,0.21283609
90439,0.21283609
90489,0.21283609
90539,0.21283609
90589,0.21277505
90639,0.21277505
90689,0.21277505
90739,0.21277505
90789,0.21271402
90839,0.21271402
90889,0.21271402
90939,0.21271402
90990,0.21274453
91039,0.21274453
91089,0.21274453
91139,0.21274453
91189,0.21274453
91239,0.21274453
91289,0.21274453
91339,0.21274453
91389,0.21277505
91439,0.21271402
91489,0.21271402
91539,0.21271402
91588,0.21271402
91639,0.21271402
91689,0.21271402
91739,0.21271402
91789,0.21271402
91839,0.2126835
91889,0.2126835
91939,0.2126835
91989,0.2126835
92039,0.2126835
92089,0.2126835
92139,0.2126835
92189,0.2126835
92241,0.21265298
92291,0.21265298
92339,0.21265298
92389,0.21265298
92439,0.21262245
92489,0.21262245
92539,0.21262245
92589,0.21262245
92640,0.21265298
92690,0.21265298
92739,0.21265298
92789,0.21265298
92840,0.21262245
92889,0.21262245
92939,0.21262245
92989,0.21262245
93039,0.21259193
93089,0.21259193
93139,0.21259193
93189,0.21259193
93239,0.21250038
93289,0.21250038
93339,0.21250038
93389,0.21250038
93440,0.21243934
93489,0.21243934
93539,0.21243934
93589,0.21243934
93640,0.21240883
93689,0.21243934
93739,0.21243934
93789,0.21243934
93839,0.21243934
93889,0.21243934
93939,0.21243934
93989,0.21243934
94039,0.21243934
94089,0.21234779
94139,0.21234779
94189,0.21234779
94238,0.21234779
94288,0.21234779
94338,0.21234779
94388,0.21234779
94438,0.21234779
94488,0.21228676
94538,0.21228676
94588,0.21228676
94638,0.21228676
94688,0.21234779
94738,0.21234779
94788,0.21234779
94838,0.21234779
94888,0.21231727
94938,0.21231727
94988,0.21231727
95038,0.21231727
95088,0.21231727
95139,0.21231727
95189,0.21231727
95239,0.21231727
95289,0.21228676
95339,0.21228676
95389,0.21228676
95439,0.21228676
95489,0.21228676
95539,0.21228676
95589,0.21228676
95639,0.21228676
95689,0.21225624
95739,0.21225624
95789,0.21225624
95839,0.21225624
95889,0.21225624
95939,0.21222572
95989,0.21222572
96039,0.21222572
96089,0.21222572
96139,0.2121952
96189,0.2121952
96239,0.2121952
96289,0.2121952
96339,0.2121952
96389,0.2121952
96439,0.2121952
96489,0.2121952
96539,0.2121952
96589,0.2121952
96639,0.2121952
96689,0.21216469
96739,0.21216469
96789,0.21216469
96839,0.21216469
96889,0.21216469
96939,0.21216469
96989,0.21216469
97039,0.21216469
97089,0.21216469
97139,0.21213415
97189,0.21213415
97239,0.21213415
97289,0.21213415
97339,0.21207312
97389,0.21207312
97439,0.21207312
97489,0.21207312
97539,0.21207312
97589,0.21207312
97640,0.21207312
97689,0.21207312
97739,0.2120426
97789,0.2120426
97839,0.2120426
97889,0.2120426
97939,0.2120426
97989,0.2120426
98039,0.2120426
98089,0.2120426
98139,0.2120426
98189,0.21201208
98239,0.21201208
98289,0.21201208
98339,0.21201208
98389,0.21201208
98439,0.21201208
98489,0.21201208
98539,0.21201208
98589,0.21195105
98639,0.21195105
98689,0.21195105
98739,0.21195105
98789,0.21192053
98839,0.21192053
98889,0.21192053
98939,0.21192053
98989,0.21192053
99039,0.21192053
99089,0.21192053
99139,0.21192053
99189,0.21189001
99239,0.21189001
99289,0.21189001
99339,0.21189001
99390,0.21182898
99439,0.21182898
99489,0.21182898
99539,0.21182898
99589,0.21182898
99639,0.21182898
99689,0.21182898
99739,0.21182898
99789,0.21179846
99839,0.21179846
99889,0.21179846
99939,0.21179846
99989,0.21173742
100039,0.21173742
100089,0.21173742
100139,0.21173742
100189,0.21173742
100239,0.2117069
100289,0.2117069
100339,0.2117069
100389,0.2117069
100439,0.21164586
100489,0.21164586
100539,0.21164586
100589,0.21164586
100639,0.21164586
100689,0.21164586
100739,0.21164586
100789,0.21164586
100839,0.21164586
100889,0.21164586
100939,0.21164586
100989,0.21164586
101039,0.21161534
101089,0.21161534
101139,0.21161534
101189,0.21161534
101239,0.21158482
101289,0.21158482
101339,0.21158482
101389,0.21158482
101439,0.2115543
101489,0.2115543
101539,0.2115543
101589,0.2115543
101639,0.2115543
101689,0.2115543
101739,0.2115543
101789,0.2115543
101839,0.21146275
101889,0.21146275
101939,0.21146275
101989,0.21146275
102039,0.21149327
102089,0.21146275
102139,0.21146275
102189,0.21146275
102239,0.21146275
102289,0.21146275
102339,0.21146275
102389,0.21146275
102439,0.21146275
102489,0.21140172
102539,0.21140172
102589,0.21140172
102639,0.21140172
102689,0.21140172
102739,0.21140172
102789,0.21140172
102839,0.21140172
102889,0.21134068
102939,0.21134068
102989,0.21134068
103039,0.21134068
103089,0.21127965
103139,0.21127965
103189,0.21127965
103239,0.21127965
103289,0.21124913
103339,0.21124913
103389,0.21124913
103439,0.21124913
103489,0.21121861
103539,0.21121861
103588,0.21121861
103639,0.21121861
103689,0.2111881
103739,0.2111881
103789,0.2111881
103839,0.2111881
103889,0.21112704
103939,0.21112704
103989,0.21112704
104039,0.21112704
104089,0.21109653
104139,0.21109653
104189,0.21109653
104239,0.21109653
104289,0.21109653
104339,0.21106601
104389,0.21106601
104442,0.21106601
104490,0.21106601
104539,0.21103549
104589,0.21103549
104639,0.21103549
104689,0.21103549
104739,0.21103549
104789,0.21103549
104839,0.21103549
104889,0.21103549
104939,0.21097445
104989,0.21097445
105039,0.21097445
105090,0.21097445
105139,0.21097445
105189,0.21097445
105239,0.21097445
105289,0.21097445
105339,0.21091342
105389,0.21091342
105439,0.21091342
105489,0.21091342
105539,0.2108829
105589,0.2108829
105639,0.2108829
105689,0.2108829
105739,0.21085238
105789,0.21085238
105839,0.21085238
105890,0.21085238
105939,0.21082187
105989,0.21082187
106039,0.21082187
106089,0.21082187
106139,0.21073031
106189,0.21073031
106239,0.21073031
106290,0.21073031
106339,0.21076083
106389,0.21076083
106439,0.21076083
106489,0.21076083
106539,0.21076083
106588,0.21073031
106639,0.21073031
106689,0.21073031
106739,0.21073031
106789,0.2106998
106839,0.2106998
106889,0.2106998
106939,0.2106998
106989,0.21066926
107039,0.21066926
107089,0.21066926
107139,0.21066926
107189,0.21063875
107239,0.21066926
107289,0.21066926
107339,0.21057771
107389,0.21060823
107439,0.21060823
107489,0.21060823
107539,0.21060823
107589,0.2105472
107639,0.2105472
107689,0.2105472
107739,0.2105472
107789,0.21051668
107839,0.21051668
107889,0.21051668
107939,0.21051668
107989,0.21048616
108039,0.21048616
108089,0.21048616
108139,0.21048616
108189,0.21048616
108239,0.21048616
108289,0.21048616
108339,0.21048616
108389,0.21048616
108439,0.21048616
108489,0.21048616
108539,0.21048616
108589,0.21045564
108639,0.2103946
108689,0.2103946
108739,0.2103946
108789,0.2103946
108839,0.21036409
108889,0.21036409
108939,0.21036409
108989,0.21036409
109039,0.21030305
109089,0.21030305
109139,0.21030305
109189,0.21030305
109239,0.21027254
109289,0.21027254
109339,0.21027254
109389,0.21027254
109439,0.21027254
109489,0.21027254
109539,0.21027254
109589,0.21027254
109639,0.21024202
109689,0.21024202
109739,0.21024202
109789,0.21024202
109839,0.2102115
109889,0.2102115
109939,0.2102115
109989,0.2102115
110039,0.21015045
110089,0.21015045
110139,0.21015045
110189,0.21015045
110239,0.21015045
110289,0.21015045
110339,0.21015045
110389,0.21015045
110439,0.21018097
