time,data
150836,0.27439192
150886,0.27439192
150936,0.2743614
150986,0.2743614
151036,0.2743614
151086,0.2743614
151136,0.2743614
151186,0.2743614
151236,0.2743614
151286,0.2743614
151336,0.27430037
151386,0.27430037
151436,0.27430037
151486,0.27430037
151536,0.27430037
151586,0.27426985
151636,0.27426985
151686,0.27426985
151736,0.27426985
151786,0.27423933
151836,0.27423933
151886,0.27423933
151936,0.27423933
151986,0.2742088
152036,0.2742088
152086,0.2742088
152136,0.2742088
152186,0.27414778
152236,0.27414778
152285,0.27414778
152336,0.27414778
152386,0.2740257
152436,0.2740257
152486,0.2740257
152536,0.2740257
152586,0.2739036
152636,0.2739036
152686,0.2739036
152736,0.2739036
152786,0.2739036
152836,0.2739036
152886,0.2739036
152936,0.2739036
152986,0.2738731
153036,0.2738731
153086,0.2738731
153136,0.2738731
153186,0.2739036
153236,0.2739036
153286,0.2739036
153336,0.2739036
153386,0.2739036
153436,0.2739036
153486,0.2739036
153536,0.2739036
153586,0.2738731
153636,0.2739036
153686,0.2739036
153736,0.2739036
153786,0.2739036
153836,0.2738731
153886,0.2738731
153936,0.2738731
153986,0.2738731
154036,0.2739036
154086,0.2739036
154136,0.2739036
154186,0.2739036
154236,0.2738731
154286,0.2738731
154336,0.2738731
154386,0.2738731
154436,0.27384257
154486,0.27384257
154536,0.27384257
154586,0.27384257
154636,0.27384257
154686,0.27384257
154736,0.27384257
154786,0.27384257
154836,0.2738731
154886,0.2738731
154936,0.2738731
154986,0.2738731
155036,0.27381206
155086,0.27381206
155136,0.27381206
155186,0.27381206
155236,0.27378154
155286,0.27378154
155336,0.27378154
155386,0.27378154
155436,0.27381206
155486,0.27381206
155536,0.27381206
155586,0.27381206
155636,0.27375102
155686,0.27375102
155736,0.27375102
155786,0.27375102
155836,0.27378154
155886,0.27375102
155936,0.27375102
155986,0.27375102
156036,0.27375102
156086,0.2737205
156136,0.2737205
156186,0.2737205
156236,0.2737205
156286,0.27375102
156336,0.27375102
156386,0.27375102
156436,0.27375102
156486,0.27369
156536,0.27369
156586,0.27369
156636,0.27369
156686,0.27369
156736,0.27369
156786,0.27369
156836,0.27369
156886,0.27369
156936,0.27369
156986,0.27369
157036,0.27369
157086,0.27365947
157136,0.27365947
157186,0.27365947
157236,0.27365947
157286,0.27362895
157336,0.27362895
157386,0.27362895
157436,0.27362895
157486,0.27359843
157536,0.27359843
157586,0.27359843
157636,0.27359843
157686,0.27359843
157736,0.27359843
157786,0.27359843
157836,0.27359843
157886,0.27359843
157936,0.27356791
157986,0.27356791
158036,0.27356791
158086,0.27356791
158136,0.2735374
158186,0.2735374
158236,0.2735374
158285,0.2735374
158336,0.2735374
158386,0.2735374
158436,0.2735374
158486,0.2735374
158536,0.27350688
158586,0.27350688
