time,data/763/norm1,data/1433/norm1
172036,0.27164525,0.004791406
172086,0.27164525,0.004791406
172136,0.27164525,0.004791406
172186,0.27164525,0.004791406
172236,0.27161473,0.004852443
172286,0.27161473,0.004852443
172336,0.27161473,0.004852443
172386,0.27161473,0.004852443
172436,0.2715842,0.0048829615
172486,0.2715842,0.0048829615
172536,0.2715842,0.0048829615
172586,0.2715842,0.0048829615
172636,0.2715842,0.0048829615
172686,0.2715842,0.0048829615
172736,0.2715842,0.0048829615
172786,0.2715842,0.0048829615
172836,0.2715537,0.0048829615
172886,0.2715537,0.004974517
172936,0.2715537,0.004974517
172986,0.2715537,0.004974517
173036,0.2715537,0.004974517
173086,0.27149266,0.0049439985
173136,0.27149266,0.0049439985
173186,0.27149266,0.0049439985
173236,0.27149266,0.0049439985
173286,0.27149266,0.005035554
173339,0.27149266,0.005035554
173388,0.27149266,0.005035554
173436,0.27149266,0.005035554
173486,0.27143162,0.005035554
173535,0.27143162,0.005035554
173589,0.27143162,0.005035554
173637,0.27143162,0.005035554
173687,0.2714011,0.005096591
173736,0.2714011,0.005096591
173786,0.2714011,0.005096591
173837,0.2714011,0.005096591
173886,0.2713706,0.005035554
173937,0.2713706,0.005035554
173986,0.2713706,0.005035554
174036,0.2713706,0.005035554
174086,0.27134007,0.005157628
174136,0.27134007,0.005157628
174186,0.27134007,0.005157628
174236,0.27134007,0.005157628
174286,0.27134007,0.0051881466
174336,0.27134007,0.0051881466
174386,0.27134007,0.0051881466
174436,0.27134007,0.0051881466
174486,0.27127904,0.005157628
174536,0.27127904,0.005157628
174586,0.27127904,0.005157628
174636,0.27127904,0.005157628
174686,0.27127904,0.0052491836
174736,0.27127904,0.0052491836
174786,0.27127904,0.0052491836
174836,0.27127904,0.0052491836
174886,0.27124852,0.0053102206
174936,0.27124852,0.005218665
174986,0.27124852,0.005218665
175036,0.27124852,0.005218665
175086,0.27124852,0.005218665
175136,0.27118748,0.0053102206
175186,0.27118748,0.0053102206
175236,0.27118748,0.0053102206
175286,0.27115697,0.0053102206
175336,0.27115697,0.0053102206
175386,0.27115697,0.0053102206
175436,0.27115697,0.0053102206
175486,0.27112645,0.0053102206
175536,0.27112645,0.0053102206
175586,0.27112645,0.0053102206
175636,0.27112645,0.0053102206
175686,0.27112645,0.0053102206
175736,0.27109593,0.0053712577
175786,0.27109593,0.0053712577
175836,0.27109593,0.0053712577
175886,0.27109593,0.0053712577
175936,0.2710654,0.005462813
175986,0.2710654,0.005462813
176036,0.2710654,0.005462813
176086,0.2710654,0.005462813
176136,0.2710349,0.0054933317
176186,0.2710349,0.0054933317
176236,0.2710349,0.0054933317
176286,0.2710349,0.0054933317
176336,0.2710349,0.0054933317
176386,0.2710349,0.0054933317
176436,0.2710349,0.0054933317
176486,0.2710349,0.0054933317
176536,0.27100438,0.005584887
176586,0.27100438,0.005584887
176636,0.27100438,0.005584887
176686,0.27100438,0.005584887
176736,0.27097383,0.00552385
176786,0.27097383,0.00552385
176836,0.27097383,0.00552385
176886,0.27097383,0.00552385
176936,0.2709128,0.0056459242
176986,0.2709128,0.0056459242
177036,0.2709128,0.0056459242
177086,0.2709128,0.0056459242
177136,0.2709433,0.005584887
177186,0.2709433,0.0056154057
177236,0.2709433,0.0056154057
177286,0.2709433,0.0056154057
177336,0.2709433,0.0056154057
177386,0.27088228,0.0057069613
177436,0.27088228,0.0057069613
177486,0.27088228,0.0057069613
177536,0.27088228,0.0057069613
177586,0.27082124,0.0056764428
177636,0.27082124,0.0056764428
177686,0.27082124,0.0056764428
177736,0.27082124,0.0056764428
177786,0.27082124,0.0057679983
177836,0.27082124,0.0057679983
177886,0.27082124,0.0057679983
177936,0.27082124,0.0057679983
177986,0.2707602,0.0058290353
178036,0.2707602,0.0058290353
178086,0.2707602,0.0058290353
178136,0.2707602,0.0058290353
178186,0.2707297,0.0057679983
178236,0.2707297,0.0057679983
178286,0.2707297,0.0057679983
178336,0.2707297,0.005798517
178386,0.27069917,0.0058900723
178436,0.27069917,0.0058290353
178486,0.27069917,0.0058900723
178536,0.27069917,0.0058900723
178586,0.27069917,0.0058290353
178636,0.27069917,0.0058290353
178686,0.27069917,0.0058290353
178736,0.27069917,0.0058290353
178786,0.27066866,0.0058900723
178836,0.27066866,0.0058900723
178886,0.27066866,0.0058900723
178936,0.27066866,0.0058900723
178986,0.27060762,0.0058900723
179036,0.27060762,0.0058900723
179086,0.27060762,0.0058900723
179136,0.27060762,0.0058900723
179186,0.27060762,0.0058900723
179236,0.2705771,0.005981628
179286,0.2705771,0.005981628
179336,0.2705771,0.005981628
179386,0.2705771,0.005981628
179436,0.2705771,0.005920591
179486,0.2705771,0.005920591
179536,0.2705771,0.005920591
179586,0.2705771,0.005920591
179636,0.2705466,0.006042665
179686,0.2705466,0.006042665
179736,0.2705466,0.006042665
179786,0.2705466,0.006042665
179836,0.27051607,0.0060731834
179886,0.27051607,0.0060731834
179936,0.27051607,0.0060731834
179986,0.27051607,0.0060731834
180036,0.27048555,0.006042665
180086,0.27048555,0.006042665
180136,0.27048555,0.006042665
180186,0.27048555,0.006042665
180236,0.27042452,0.0061342204
180286,0.27042452,0.0060731834
180336,0.27042452,0.0061342204
180386,0.270394,0.0061342204
180436,0.27045503,0.006103702
180485,0.27045503,0.006103702
180535,0.27045503,0.006103702
180585,0.27045503,0.006103702
180635,0.270394,0.006164739
180685,0.270394,0.006164739
180735,0.270394,0.006164739
180785,0.270394,0.006164739
180835,0.270394,0.0061342204
180885,0.270394,0.0061342204
180935,0.270394,0.0061342204
180985,0.270394,0.0061342204
181035,0.27033296,0.006225776
181085,0.27033296,0.006225776
181135,0.27033296,0.006225776
181185,0.27033296,0.006225776
181235,0.27033296,0.006164739
181286,0.27033296,0.006164739
181336,0.27033296,0.006164739
181386,0.27033296,0.006164739
181436,0.27033296,0.0062562944
181486,0.27030244,0.006225776
181536,0.27030244,0.006225776
181586,0.27030244,0.006225776
181636,0.27030244,0.006225776
181686,0.2702414,0.0062562944
181736,0.2702414,0.0062562944
181786,0.2702414,0.0062562944
181836,0.2702414,0.0062562944
181886,0.2702414,0.0063173315
181936,0.2702414,0.0063173315
181986,0.2702414,0.0063173315
182036,0.2702414,0.0063173315
182086,0.2702414,0.0063783685
182136,0.2702414,0.0063783685
182186,0.2702414,0.0063783685
182236,0.2702414,0.0063783685
182286,0.27018037,0.0063173315
182336,0.27018037,0.0063173315
182386,0.27018037,0.0063173315
182436,0.27018037,0.0063173315
182486,0.27014986,0.006408887
182536,0.27014986,0.006408887
182586,0.27014986,0.006408887
182636,0.27014986,0.006408887
182686,0.27014986,0.0063783685
182736,0.27014986,0.0063783685
182786,0.27014986,0.0063783685
182836,0.27014986,0.0063783685
182886,0.27008882,0.0064394055
182936,0.27008882,0.0064394055
182986,0.27008882,0.0064394055
183036,0.27008882,0.0064394055
183086,0.27008882,0.006408887
183136,0.27008882,0.006408887
183186,0.27008882,0.006408887
183236,0.27008882,0.006408887
183286,0.2700583,0.006530961
183336,0.2700583,0.006530961
183386,0.2700583,0.006530961
183436,0.2700583,0.006530961
183486,0.2700583,0.006530961
183536,0.26996672,0.0065004425
183586,0.26996672,0.0065004425
183636,0.26996672,0.0065004425
183686,0.26996672,0.0065004425
183736,0.26996672,0.0065614795
183786,0.26996672,0.0065614795
183836,0.26996672,0.0065614795
183886,0.26996672,0.0065614795
183936,0.2699362,0.0065614795
183986,0.2699362,0.0065614795
184036,0.2699362,0.0065614795
184086,0.2699362,0.0065614795
184136,0.2699057,0.006653035
184186,0.2699057,0.006653035
184236,0.2699057,0.006653035
184286,0.2699057,0.006653035
184336,0.2699057,0.0066835536
184386,0.2699057,0.0066835536
184436,0.2699057,0.0066835536
184486,0.2699057,0.0066835536
184536,0.26984465,0.0066835536
184586,0.26984465,0.0066835536
184636,0.26984465,0.0066835536
184686,0.26984465,0.0066835536
184736,0.26978362,0.0067445906
184786,0.26978362,0.0067445906
184836,0.26978362,0.0067445906
184886,0.26978362,0.0067445906
184936,0.2697531,0.006775109
184986,0.2697531,0.006775109
185036,0.2697531,0.006775109
185086,0.2697531,0.006775109
185136,0.2697531,0.006836146
185186,0.2697531,0.006836146
185236,0.2697531,0.006836146
185286,0.2697531,0.006836146
185336,0.26969206,0.006836146
185386,0.26969206,0.006836146
185436,0.26969206,0.006836146
185486,0.26969206,0.006836146
185536,0.26963103,0.0069277016
185586,0.26963103,0.0069277016
185636,0.26963103,0.0069277016
185686,0.26963103,0.0069277016
185738,0.26963103,0.0069277016
185786,0.2696005,0.006897183
185836,0.2696005,0.006897183
185886,0.2696005,0.006897183
185936,0.2696005,0.006897183
185986,0.26957,0.007019257
186036,0.26957,0.007019257
186086,0.26957,0.007019257
186136,0.26957,0.007019257
186186,0.26950896,0.0069887387
186236,0.26950896,0.0069887387
186286,0.26950896,0.0069887387
186336,0.26950896,0.0069887387
186386,0.26947844,0.0071108127
186436,0.26947844,0.0071108127
186486,0.26947844,0.0071108127
186536,0.26947844,0.0071108127
186586,0.26944792,0.0071718497
186636,0.26944792,0.0071718497
